"","Alexa Fluor 488-A","PE-A","PE-Texas Red-A","7-AAD-A","PE-Cy7-A","Alexa Fluor 405-A","Alexa Fluor 430-A","Qdot 605-A","Alexa Fluor 647-A","Alexa Fluor 700-A","APC-Cy7-A"
"Alexa Fluor 488-A",1,0,0,0,0,0,0,0,0,0,0
"PE-A",0.0247934050101415,1,0.609504133810489,0.355371906466034,0.0557851237413587,-0.0284024028650341,0.0013058491319397,0.170740790762467,0.000831819973898949,0.0221816794506552,0.000277270481340553
"PE-Texas Red-A",0,0,1,0,0,0,0,0,0,0,0
"7-AAD-A",0.0354874114214901,0.0365826947696669,0.0462212420618742,1,0.277765605647605,0.0338515795735125,0.0240906858773094,0.112769385866719,0.0414503400443445,0.134934079580415,0.032807500348538
"PE-Cy7-A",0.00445625095556044,0.00968377542914545,0.00891250191112087,0.0155111798717141,1,0.000487472632797654,0.00259985121120947,0.0117805727758262,0.0024841051609545,0.0193898163110675,0.056237365584641
"Alexa Fluor 405-A",0,0,0,0,0,1,0,0,0,0,0
"Alexa Fluor 430-A",0.0625502426987136,0.0421391045528681,0.0263369305597513,0.0243616620725419,0.00263369566551951,0.714107391073738,1,3.26404508624564,0.00159049117534979,0.00106031657713165,-0.000530158288565821
"Qdot 605-A",0,0,0,0,0,0,0,1,0,0,0
"Alexa Fluor 647-A",0,0,0,0,0,0,0,0,1,0,0
"Alexa Fluor 700-A",0,0,0,0,0,0,0,0,0,1,0
"APC-Cy7-A",0.00463251256856993,0.0063170690423182,0.005685354627115,0.0191617730350064,0.0487467003924857,-0.00778558077171651,0.000598887297795094,0.00898335536730654,0.0799423472029257,0.224398100307192,1
