"","Alexa Fluor 488-A","PE-A","PE-Texas Red-A","7-AAD-A","PE-Cy7-A","Alexa Fluor 405-A","Alexa Fluor 430-A","Qdot 605-A","Alexa Fluor 647-A","Alexa Fluor 700-A","APC-Cy7-A"
"Alexa Fluor 488-A",1,0.188000660829419,0.0840010055410374,0.0180001099451941,0,0,0.0140007332160243,0,0,0,0
"PE-A",0.00600003500329461,1,0.523009347537657,0.168001030139977,0.0280001680634105,0,0,0.13200081541452,0,0,0
"PE-Texas Red-A",0,0,1,0,0,0,0,0,0,0,0
"7-AAD-A",0,0,0.0000556259014994623,1,0.310001025428297,0,0,0,0.00599999533584533,0.0369999944281096,0.0149999979849168
"PE-Cy7-A",0,0,0,0,1,0,0,0,0,0,0
"Alexa Fluor 405-A",0,0,0,0,0,1,0,0,0,0,0
"Alexa Fluor 430-A",0,0,0,0,0,0,1,0,0,0,0
"Qdot 605-A",0,0,0,0,0,0,0,1,0,0,0
"Alexa Fluor 647-A",0,0,0,0.026000158845424,0.00800002575132889,0,0,0.00300012201102104,1,0.358999995974202,0.0900000004285992
"Alexa Fluor 700-A",0,0,0,0.0410002550271638,0.0490000413100752,0,0,0,0.004000004186981,1,0.269999997678749
"APC-Cy7-A",0.0160000077614594,0.010000583527505,0.0120008919894537,0.0160000937022346,0.0880000187943137,0.0119999107977049,0.00800065012600481,0.0190000783578749,0.0320000041000805,0.114000005639661,1
