"","Alexa Fluor 488-A","PE-A","PE-Texas Red-A","7-AAD-A","PE-Cy7-A","Alexa Fluor 405-A","Alexa Fluor 430-A","Qdot 605-A","Alexa Fluor 647-A","Alexa Fluor 700-A","APC-Cy7-A"
"Alexa Fluor 488-A",1,0,0,0,0,0,0,0,0,0,0
"PE-A",0.031012,1,0.549444,0.369222,0.060269,-0.002774,0.004438,0.14867,0.000471,0.027327,0.001885
"PE-Texas Red-A",0,0,1,0,0,0,0,0,0,0,0
"7-AAD-A",0.03769,0.041628,0.058316,1,0.287831,0.039821,0.027199,0.131906,0.076549,0.133318,0.033367
"PE-Cy7-A",0.002969,0.00917,0.009431,0.013798,1,-8.3e-05,0.001573,0.010266,0.007172,0.021095,0.055198
"Alexa Fluor 405-A",0,0,0,0,0,1,0,0,0,0,0
"Alexa Fluor 430-A",0.060458,0.029586,0.013507,0.015436,0.000643,0.706707,1,3.266464,-0.007768,0.00725,0.003107
"Qdot 605-A",0,0,0,0,0,0,0,1,0,0,0
"Alexa Fluor 647-A",0,0,0,0,0,0,0,0,1,0,0
"Alexa Fluor 700-A",0,0,0,0,0,0,0,0,0,1,0
"APC-Cy7-A",0.009295,0.009113,0.010024,0.028251,0.054679,-0.001555,0.002246,0.016415,0.093044,0.227913,1
