"","Alexa Fluor 488-A","PE-A","PE-Texas Red-A","7-AAD-A","PE-Cy7-A","Alexa Fluor 405-A","Alexa Fluor 430-A","Qdot 605-A","Alexa Fluor 647-A","Alexa Fluor 700-A","APC-Cy7-A"
"Alexa Fluor 488-A",1,0,0,0,0,0,0,0,0,0,0
"PE-A",0.091033,1,0.651885,0.416292,0.088103,0.119826,0.065562,0.404853,0.063705,0.041998,0.010067
"PE-Texas Red-A",0,0,1,0,0,0,0,0,0,0,0
"7-AAD-A",0.063728,0.064851,0.081134,1,0.271757,0.09901,0.052167,0.210264,0.076405,0.143769,0.035942
"PE-Cy7-A",0.0055,0.01274,0.013858,0.019638,1,0.009957,0.005951,0.025511,0.005629,0.0165,0.054
"Alexa Fluor 405-A",0,0,0,0,0,1,0,0,0,0,0
"Alexa Fluor 430-A",0.122271,0.103727,0.108006,0.104338,0.035866,0.789992,1,3.313563,0.060548,0.023957,0.006892
"Qdot 605-A",0,0,0,0,0,0,0,1,0,0,0
"Alexa Fluor 647-A",0,0,0,0,0,0,0,0,1,0,0
"Alexa Fluor 700-A",0,0,0,0,0,0,0,0,0,1,0
"APC-Cy7-A",0.020893,0.021993,0.025842,0.032989,0.056412,0.028982,0.016159,0.064532,0.087923,0.219586,1
